CID,IDSURVEY,zHD,RA_SN,DEC_SN,SRC_HEAD,HOST_RA,HOST_DEC
1251618,10,0.82172,36.348541,-4.165977,DES,36.348354,-4.1658
1251645,10,0.76679,36.637634,-4.341052,DES,36.637699,-4.34133
1251652,10,0.77155,36.853241,-5.378987,DES,36.85334,-5.378911
1251975,10,0.44647,35.061047,-5.824066,DES,35.061081,-5.824061
1252142,10,0.55288,53.499386,-29.534050,DES,53.499343999999994,-29.534046000000004
1252183,10,0.97242,52.745983,-28.221069,DES,52.74601,-28.221079
1252199,10,0.60498,53.223419,-27.416075,DES,53.22319399999999,-27.415644
1252225,10,0.51956,53.215588,-28.177155,DES,53.215313,-28.177282
1252237,10,0.88580,52.269180,-28.083105,DES,52.269238,-28.082966
1252313,10,0.59692,8.332176,-43.889019,DES,8.33262,-43.889168
1252364,10,0.54134,7.277269,-42.313549,DES,7.277299,-42.31348
1252513,10,0.47767,54.586571,-27.557074,DES,54.586636,-27.557007000000002
1252521,10,0.43322,54.140781,-26.568392,DES,54.140556000000004,-26.568298
1252595,10,0.81330,53.059490,-27.715036,DES,53.05934499999999,-27.715164
1252620,10,0.95299,37.267574,-4.127431,DES,37.267628,-4.127444000000001
1252665,10,0.97489,52.551495,-28.045853,DES,52.551414,-28.045916
1252671,10,0.98536,52.323990,-28.787512,DES,52.323704,-28.787571000000003
1252751,10,0.56059,41.392765,-1.509742,DES,41.392708,-1.509696
1252810,10,0.58026,41.878887,-1.601640,DES,41.87859,-1.60141
1252829,10,0.45168,34.339848,-5.662609,DES,34.339718,-5.662422
1252917,10,0.69277,37.300167,-4.718976,DES,37.300175,-4.718980999999999
1252918,10,0.83583,37.299671,-5.070037,DES,37.299595000000004,-5.069964
1252926,10,0.92427,36.346783,-4.232304,DES,36.346759999999996,-4.232247
1252939,10,0.66666,36.183205,-4.845101,DES,36.183310999999996,-4.84468
1252970,10,0.46198,54.600784,-28.779387,DES,54.600655,-28.779106
1253046,10,0.50134,53.643997,-26.873615,DES,53.643539000000004,-26.873732
1253101,10,0.45332,7.465117,-43.137768,DES,7.465158,-43.13773
1253119,10,0.31915,9.183609,-44.232952,DES,9.183597,-44.233112
1253131,10,0.40349,10.159466,-44.371948,DES,10.160546,-44.372307
1253148,10,0.43868,10.544670,-43.468792,DES,10.544463,-43.468803
1253180,10,0.46154,52.867516,-28.937798,DES,52.867115000000005,-28.937234999999998
1253243,10,0.57729,42.204128,-0.523807,DES,42.204437,-0.5237109999999999
1253324,10,0.16945,43.394016,0.019034,DES,43.39407,0.019029
1253358,10,0.71380,41.259747,-0.885598,DES,41.259128999999994,-0.8852180000000001
1253406,10,0.36131,41.886280,-0.629973,DES,41.886307,-0.629948
1253474,10,0.44670,34.528904,-5.711419,DES,34.52916,-5.7113629999999995
1253475,10,0.45412,34.614033,-5.639099,DES,34.613754,-5.638916
1253572,10,0.51969,35.547745,-5.929325,DES,35.547717999999996,-5.9292050000000005
